Instrucción,Fecha Resultado
14/02/57 en un par de días,16/02/57
05/11/00 este miércoles por favor,08/11/00
17/05/15 en tres días por favor,20/05/15
02/06/07 pasado mañana gracias,04/06/07
04/11/44 el jueves por favor,10/11/44
05/12/38 el siguiente jueves gracias,09/12/38
09/11/57 el siguiente jueves,15/11/57
20/09/29 el viernes que viene,21/09/29
06/10/50 mañana,07/10/50
21/07/08 por favor el siguiente jueves,24/07/08
20/05/47 por favor el miércoles,22/05/47
26/10/03 el próximo martes gracias,28/10/03
11/08/20 el siguiente viernes,14/08/20
19/12/18 pasado mañana por favor,21/12/18
06/11/50 el siguiente viernes,11/11/50
29/08/42 por favor el próximo miércoles,03/09/42
27/04/24 este martes próximo gracias,30/04/24
05/03/04 pasado mañana por favor,07/03/04
02/09/06 en tres días,05/09/06
25/02/25 por favor el siguiente miércoles,26/02/25
19/09/48 el lunes,21/09/48
22/07/50 el viernes siguiente,29/07/50
15/01/59 el miércoles,22/01/59
14/12/02 el lunes,16/12/02
03/02/16 el jueves siguiente,04/02/16
19/03/28 este miércoles próximo,22/03/28
28/05/01 el próximo martes por favor,29/05/01
02/08/18 el lunes siguiente gracias,06/08/18
30/08/52 el próximo jueves gracias,05/09/52
07/12/12 por favor el martes,11/12/12
25/09/35 el siguiente jueves por favor,27/09/35
26/11/06 mañana,27/11/06
06/11/26 este lunes,09/11/26
29/07/14 por favor el jueves que viene,31/07/14
05/08/50 pasado mañana,07/08/50
28/07/21 por favor en un par de días,30/07/21
03/11/50 este martes siguiente,08/11/50
29/11/34 por favor el siguiente viernes,01/12/34
27/09/60 el jueves próximo por favor,30/09/60
30/06/48 el viernes,03/07/48
05/10/29 este miércoles gracias,10/10/29
08/06/34 el próximo miércoles,14/06/34
21/07/12 el lunes que viene,23/07/12
13/01/07 el próximo miércoles gracias,17/01/07
04/12/44 en tres días por favor,07/12/44
11/01/31 por favor el martes siguiente,14/01/31
25/10/04 el próximo martes gracias,26/10/04
05/10/08 el siguiente lunes,06/10/08
19/03/39 el próximo miércoles,23/03/39
28/10/20 el siguiente miércoles gracias,04/11/20
26/10/06 el jueves siguiente,02/11/06
22/07/30 este martes siguiente gracias,23/07/30
17/04/54 el siguiente jueves,23/04/54
27/01/55 en tres días,30/01/55
07/06/53 el próximo martes por favor,10/06/53
04/08/35 el miércoles gracias,08/08/35
12/04/29 el viernes que viene,13/04/29
28/08/02 por favor el próximo jueves,29/08/02
20/11/56 este lunes por favor,27/11/56
09/07/24 en tres días,12/07/24
02/06/40 el próximo martes,05/06/40
06/01/44 el jueves,07/01/44
19/06/20 este jueves,25/06/20
03/12/31 el lunes que viene,08/12/31
12/08/49 en tres días,15/08/49
05/09/33 por favor en un par de días,07/09/33
28/09/38 el martes siguiente por favor,05/10/38
30/08/16 el siguiente miércoles,31/08/16
23/12/60 en tres días,26/12/60
23/07/52 el lunes próximo,29/07/52
09/04/59 el miércoles,16/04/59
05/02/34 este viernes siguiente,10/02/34
09/09/07 por favor este miércoles próximo,12/09/07
01/07/55 este lunes,05/07/55
01/07/26 en tres días por favor,04/07/26
09/02/22 el próximo viernes,11/02/22
05/08/06 este martes siguiente por favor,08/08/06
12/05/07 en un par de días,14/05/07
15/01/24 en un par de días por favor,17/01/24
01/11/13 este miércoles siguiente por favor,06/11/13
02/02/34 este martes gracias,07/02/34
13/11/56 este jueves próximo,16/11/56
03/11/13 en un par de días,05/11/13
15/12/34 el lunes,18/12/34
29/05/28 el miércoles,31/05/28
11/05/32 este viernes próximo,14/05/32
23/07/09 en un par de días gracias,25/07/09
17/03/08 el jueves siguiente,20/03/08
19/06/00 el próximo viernes,23/06/00
28/08/27 el martes,31/08/27
25/11/39 el próximo martes,29/11/39
15/04/32 este viernes siguiente,16/04/32
14/03/24 el siguiente jueves gracias,21/03/24
03/03/09 el miércoles siguiente por favor,04/03/09
20/11/11 el siguiente miércoles,23/11/11
31/10/07 por favor el miércoles que viene,07/11/07
23/10/16 en tres días,26/10/16
31/08/38 este lunes,06/09/38
07/04/40 el próximo miércoles,11/04/40
20/12/49 el próximo miércoles,22/12/49
07/10/49 este viernes próximo gracias,08/10/49
21/12/45 este jueves siguiente,28/12/45
09/08/36 pasado mañana por favor,11/08/36
07/04/09 el viernes siguiente,10/04/09
10/05/02 pasado mañana,12/05/02
15/01/08 este jueves que viene por favor,17/01/08
02/10/31 este viernes por favor,03/10/31
20/09/49 este viernes siguiente por favor,24/09/49
07/05/08 el miércoles próximo,14/05/08
21/07/53 este lunes gracias,28/07/53
26/08/53 el siguiente martes,02/09/53
07/02/29 este lunes que viene,12/02/29
24/07/34 el miércoles que viene por favor,26/07/34
08/02/01 este martes gracias,13/02/01
08/03/26 el miércoles,11/03/26
14/02/37 el viernes que viene,20/02/37
16/10/34 el lunes,23/10/34
07/08/07 mañana,08/08/07
13/03/50 pasado mañana gracias,15/03/50
11/10/21 este martes por favor,12/10/21
24/04/51 en un par de días,26/04/51
01/10/46 este viernes siguiente gracias,05/10/46
19/03/15 en un par de días,21/03/15
26/02/34 por favor el siguiente lunes,27/02/34
17/03/15 en un par de días por favor,19/03/15
15/06/12 en un par de días,17/06/12
15/02/24 este miércoles siguiente,21/02/24
06/01/27 mañana gracias,07/01/27
30/01/24 el próximo jueves,01/02/24
28/03/44 el jueves que viene,31/03/44
02/02/13 el martes,05/02/13
04/09/05 este viernes que viene,09/09/05
01/01/15 el lunes próximo por favor,05/01/15
30/12/38 el jueves,06/01/39
03/10/24 por favor el siguiente miércoles,09/10/24
11/10/37 en tres días,14/10/37
22/11/26 este lunes gracias,23/11/26
11/06/43 el siguiente jueves,18/06/43
25/11/06 por favor el viernes que viene,01/12/06
25/05/32 el lunes siguiente,31/05/32
31/07/22 el martes próximo,02/08/22
14/02/22 en tres días,17/02/22
28/01/56 el miércoles que viene,02/02/56
24/06/44 el miércoles próximo gracias,29/06/44
09/04/53 por favor el jueves,10/04/53
29/04/55 el miércoles próximo,05/05/55
17/07/17 el martes,18/07/17
28/01/41 por favor en un par de días,30/01/41
06/08/09 el próximo martes,11/08/09
26/02/12 el siguiente martes gracias,28/02/12
02/05/27 el siguiente viernes,07/05/27
09/08/00 este martes,15/08/00
02/07/35 por favor el viernes siguiente,06/07/35
21/10/29 este lunes,22/10/29
22/08/55 este martes,24/08/55
30/01/34 pasado mañana,01/02/34
25/07/29 el miércoles gracias,01/08/29
30/06/39 por favor el miércoles,06/07/39
11/01/30 el próximo miércoles gracias,16/01/30
19/08/38 en tres días por favor,22/08/38
29/05/58 el siguiente viernes por favor,31/05/58
29/04/53 el siguiente martes,06/05/53
18/03/12 el martes,20/03/12
14/12/26 en tres días,17/12/26
07/10/28 en un par de días,09/10/28
12/02/54 este miércoles,18/02/54
07/01/18 en tres días,10/01/18
22/12/42 el jueves siguiente por favor,25/12/42
09/03/28 en un par de días por favor,11/03/28
08/12/15 este martes,15/12/15
23/09/35 este jueves próximo por favor,27/09/35
18/08/28 el lunes próximo gracias,21/08/28
23/02/26 el martes,24/02/26
11/10/56 pasado mañana,13/10/56
19/01/44 este viernes siguiente gracias,22/01/44
31/08/51 por favor el jueves que viene,07/09/51
30/09/21 por favor en tres días,03/10/21
27/03/29 por favor este martes que viene,03/04/29
26/09/33 en un par de días por favor,28/09/33
22/02/25 el jueves por favor,27/02/25
02/04/35 este jueves siguiente,05/04/35
29/09/32 en un par de días,01/10/32
20/03/10 por favor en un par de días,22/03/10
02/08/50 pasado mañana,04/08/50
04/12/17 por favor este jueves próximo,07/12/17
17/02/53 en tres días por favor,20/02/53
13/12/48 el siguiente miércoles,16/12/48
21/02/16 el jueves que viene,25/02/16
08/05/49 el jueves próximo,13/05/49
31/05/02 en un par de días,02/06/02
31/05/41 este martes que viene,04/06/41
22/10/18 el próximo martes gracias,23/10/18
03/05/39 por favor en tres días,06/05/39
19/02/26 este jueves,26/02/26
16/03/06 en un par de días,18/03/06
14/09/36 este miércoles que viene por favor,17/09/36
17/05/60 este jueves gracias,20/05/60
17/10/44 este martes,18/10/44
26/06/12 el próximo miércoles,27/06/12
26/10/56 el siguiente jueves,02/11/56
03/03/27 este miércoles gracias,10/03/27
17/09/21 el martes,21/09/21
01/09/22 este martes,06/09/22
03/02/59 este viernes que viene,07/02/59
29/10/13 el miércoles por favor,30/10/13
17/12/37 mañana,18/12/37
27/10/33 este lunes,31/10/33
20/08/06 el próximo viernes por favor,25/08/06
15/04/40 por favor el viernes siguiente,20/04/40
23/08/53 el martes,26/08/53
29/12/42 en un par de días por favor,31/12/42
26/03/52 el próximo martes,02/04/52
16/12/35 en un par de días por favor,18/12/35
10/12/47 en un par de días,12/12/47
13/06/45 el miércoles,14/06/45
11/07/37 el viernes siguiente por favor,17/07/37
09/10/48 por favor en un par de días,11/10/48
19/04/03 este martes,22/04/03
03/04/32 en tres días,06/04/32
02/03/48 en un par de días gracias,04/03/48
10/04/53 el siguiente miércoles gracias,16/04/53
02/04/57 el martes por favor,03/04/57
16/08/07 por favor en tres días,19/08/07
23/10/09 por favor en tres días,26/10/09
09/04/22 el siguiente martes,12/04/22
30/12/58 por favor el próximo viernes,03/01/59
19/08/59 el miércoles,20/08/59
06/11/31 pasado mañana,08/11/31
03/12/14 este viernes,05/12/14
16/01/58 el viernes que viene,18/01/58
19/12/54 pasado mañana gracias,21/12/54
22/12/03 el próximo martes,23/12/03
12/07/50 el siguiente viernes,15/07/50
13/11/57 por favor mañana,14/11/57
11/10/60 el próximo jueves,14/10/60
08/01/58 el próximo jueves,10/01/58
07/11/35 en tres días por favor,10/11/35
30/09/29 por favor en un par de días,02/10/29
14/08/38 el miércoles que viene por favor,18/08/38
03/07/09 este martes siguiente gracias,07/07/09
11/12/00 el siguiente lunes,18/12/00
05/11/08 el lunes gracias,10/11/08
19/03/23 el próximo martes,21/03/23
01/12/19 el jueves próximo por favor,05/12/19
24/10/45 en un par de días,26/10/45
17/07/46 mañana por favor,18/07/46
22/01/50 el lunes por favor,24/01/50
30/01/52 el próximo lunes,05/02/52
10/08/51 el siguiente jueves gracias,17/08/51
30/10/19 el martes por favor,05/11/19
29/12/39 este jueves,05/01/40
25/07/33 mañana,26/07/33
02/02/35 este lunes que viene,05/02/35
17/07/41 en un par de días gracias,19/07/41
18/12/60 en un par de días,20/12/60
20/10/52 mañana por favor,21/10/52
24/11/44 el viernes,25/11/44
10/07/13 el próximo lunes,15/07/13
12/12/30 este lunes,16/12/30
15/03/02 el próximo viernes gracias,22/03/02
24/04/43 el martes por favor,28/04/43
18/05/09 por favor este martes siguiente,19/05/09
03/07/26 el martes por favor,07/07/26
26/04/37 por favor el siguiente miércoles,29/04/37
14/09/07 este jueves,20/09/07
31/05/10 por favor el martes próximo,01/06/10
16/09/12 por favor el martes,18/09/12
02/04/31 el miércoles próximo gracias,09/04/31
25/12/27 mañana,26/12/27
11/10/30 el siguiente miércoles por favor,16/10/30
06/11/40 por favor este jueves próximo,08/11/40
23/07/18 el próximo viernes gracias,27/07/18
01/10/46 el próximo miércoles,03/10/46
29/04/43 el próximo viernes,01/05/43
01/04/31 el próximo lunes,07/04/31
19/09/42 el viernes,26/09/42
03/10/08 el viernes por favor,10/10/08
23/04/39 el lunes gracias,25/04/39
03/08/40 el siguiente martes,07/08/40
11/08/28 el próximo jueves por favor,17/08/28
10/01/06 el próximo jueves,12/01/06
09/12/26 por favor el siguiente jueves,10/12/26
04/01/04 el viernes siguiente,09/01/04
29/04/10 el jueves siguiente gracias,06/05/10
10/01/02 pasado mañana por favor,12/01/02
11/10/30 el jueves,17/10/30
17/02/58 el próximo lunes,18/02/58
23/10/09 mañana,24/10/09
30/09/60 por favor este miércoles,06/10/60
29/09/14 este lunes siguiente gracias,06/10/14
18/11/21 este martes próximo por favor,23/11/21
17/04/46 el siguiente viernes,20/04/46
26/08/15 por favor este viernes siguiente,28/08/15
06/07/49 en tres días,09/07/49
14/05/14 el siguiente jueves por favor,15/05/14
10/09/29 el miércoles siguiente,12/09/29
24/03/50 en un par de días,26/03/50
02/04/38 el próximo lunes,05/04/38
14/06/41 en tres días,17/06/41
19/10/20 por favor el martes,20/10/20
03/05/36 el siguiente jueves por favor,08/05/36
30/06/56 por favor este jueves próximo,06/07/56
19/07/16 el próximo miércoles,20/07/16
20/09/16 este viernes próximo gracias,23/09/16
17/06/57 en tres días por favor,20/06/57
20/12/58 en tres días,23/12/58
08/10/38 este viernes,15/10/38
28/06/35 este martes,03/07/35
14/08/02 en un par de días,16/08/02
04/02/55 en tres días,07/02/55
13/09/17 el lunes,18/09/17
01/05/40 el lunes,07/05/40
16/02/53 este jueves,20/02/53
15/07/38 en tres días,18/07/38
19/11/34 este viernes,24/11/34
25/05/00 en tres días,28/05/00
09/04/19 en tres días gracias,12/04/19
18/06/18 el lunes,25/06/18
20/12/24 mañana por favor,21/12/24
12/08/05 el próximo viernes,19/08/05
18/10/51 este jueves,19/10/51
16/02/09 el siguiente miércoles gracias,18/02/09
01/03/48 este lunes siguiente,02/03/48
09/10/16 en tres días por favor,12/10/16
25/10/32 el próximo miércoles,27/10/32
30/03/29 pasado mañana,01/04/29
05/09/17 en tres días gracias,08/09/17
18/01/41 este viernes,25/01/41
23/03/10 mañana,24/03/10
15/07/23 en un par de días,17/07/23
03/03/60 el viernes,05/03/60
30/11/43 este viernes que viene,04/12/43
06/05/47 este jueves próximo gracias,09/05/47
03/05/57 este martes,08/05/57
12/02/28 por favor en un par de días,14/02/28
22/07/53 el próximo miércoles,23/07/53
12/11/34 el viernes que viene,17/11/34
04/11/54 por favor el viernes que viene,06/11/54
20/03/35 el lunes gracias,26/03/35
29/08/52 por favor en tres días,01/09/52
01/04/10 este miércoles,07/04/10
19/03/31 en un par de días gracias,21/03/31
30/07/31 este lunes gracias,04/08/31
28/01/41 el siguiente lunes por favor,04/02/41
21/05/55 en un par de días gracias,23/05/55
24/06/15 el siguiente viernes gracias,26/06/15
06/06/60 el jueves,10/06/60
07/09/26 el jueves gracias,10/09/26
16/02/55 mañana,17/02/55
11/12/52 este jueves,12/12/52
09/08/07 el jueves próximo gracias,16/08/07
18/04/60 por favor el próximo martes,20/04/60
07/01/12 este miércoles siguiente por favor,11/01/12
05/02/28 el martes siguiente,08/02/28
29/07/10 el próximo jueves,05/08/10
27/05/21 este martes que viene,01/06/21
25/05/27 el martes que viene,01/06/27
29/06/10 por favor el siguiente lunes,05/07/10
03/06/16 este jueves,09/06/16
28/06/33 el viernes que viene,01/07/33
06/09/12 pasado mañana gracias,08/09/12
29/10/45 el próximo jueves por favor,02/11/45
07/11/34 el jueves gracias,09/11/34
09/07/37 este viernes que viene,10/07/37
04/07/53 el siguiente miércoles,09/07/53
14/05/12 el lunes,21/05/12
27/07/51 por favor el siguiente viernes,28/07/51
04/06/34 el siguiente miércoles,07/06/34
14/12/37 mañana,15/12/37
30/08/16 el siguiente jueves,01/09/16
30/08/43 este lunes,31/08/43
05/01/57 el lunes próximo gracias,08/01/57
17/03/48 el próximo miércoles,18/03/48
20/11/57 el siguiente martes,27/11/57
17/07/15 este martes próximo,21/07/15
13/10/49 el siguiente viernes,15/10/49
20/12/14 mañana gracias,21/12/14
05/12/43 en tres días,08/12/43
29/11/25 el próximo lunes,01/12/25
02/08/12 el próximo jueves,09/08/12
13/10/16 este miércoles siguiente por favor,19/10/16
22/03/28 por favor este lunes,27/03/28
17/06/40 el martes,19/06/40
27/07/55 en un par de días,29/07/55
22/10/04 el martes gracias,26/10/04
17/03/32 el martes próximo,23/03/32
10/11/00 el jueves próximo por favor,16/11/00
23/06/43 mañana por favor,24/06/43
31/03/12 por favor en un par de días,02/04/12
03/07/17 el jueves siguiente por favor,06/07/17
12/06/34 el siguiente miércoles,14/06/34
19/05/50 por favor el siguiente miércoles,25/05/50
06/05/45 en un par de días por favor,08/05/45
03/08/58 el próximo martes,06/08/58
28/05/44 en tres días,31/05/44
14/09/36 el jueves por favor,18/09/36
11/02/44 este viernes siguiente,12/02/44
15/04/37 este miércoles gracias,22/04/37
27/10/39 el jueves que viene,03/11/39
04/11/43 el martes,10/11/43
02/01/15 el próximo lunes,05/01/15
01/06/07 por favor el lunes,04/06/07
21/09/50 en un par de días,23/09/50
08/10/02 el siguiente martes,15/10/02
14/10/19 el jueves siguiente,17/10/19
16/03/26 el jueves,19/03/26
07/12/02 mañana,08/12/02
28/08/24 el lunes próximo,02/09/24
03/03/20 este viernes,06/03/20
25/03/48 por favor el próximo martes,31/03/48
24/11/25 el próximo viernes,28/11/25
02/02/15 el lunes siguiente gracias,09/02/15
10/01/41 el viernes siguiente por favor,11/01/41
30/09/50 el lunes que viene,03/10/50
08/06/44 este martes,14/06/44
26/04/49 este lunes siguiente,03/05/49
29/10/45 mañana,30/10/45
26/02/10 el próximo lunes,01/03/10
19/05/51 el lunes,22/05/51
31/03/10 el siguiente jueves,01/04/10
13/01/24 el viernes que viene por favor,19/01/24
21/09/48 el martes próximo gracias,22/09/48
29/11/32 en un par de días gracias,01/12/32
17/08/48 en un par de días,19/08/48
25/09/03 este miércoles,01/10/03
06/08/39 en tres días gracias,09/08/39
05/01/49 en tres días,08/01/49
10/08/19 el viernes gracias,16/08/19
21/02/38 el próximo miércoles gracias,24/02/38
09/03/09 pasado mañana,11/03/09
23/08/58 el martes siguiente,27/08/58
17/03/22 por favor este jueves siguiente,24/03/22
16/09/26 el lunes por favor,21/09/26
22/11/02 el siguiente jueves,28/11/02
06/05/40 mañana,07/05/40
30/07/23 por favor este jueves próximo,03/08/23
10/04/31 el martes,15/04/31
21/10/07 por favor este viernes,26/10/07
23/05/39 el martes que viene por favor,24/05/39
13/07/10 el próximo jueves,15/07/10
04/04/21 en un par de días,06/04/21
30/10/18 el lunes próximo,05/11/18
29/09/52 por favor el próximo martes,01/10/52
16/06/31 este viernes,20/06/31
01/10/54 el próximo jueves,08/10/54
07/10/56 en tres días,10/10/56
31/05/38 el siguiente martes,01/06/38
21/11/14 este jueves próximo,27/11/14
12/04/55 este miércoles,14/04/55
28/06/12 el lunes que viene por favor,02/07/12
15/07/18 por favor este jueves próximo,19/07/18
26/07/18 este lunes,30/07/18
29/04/05 el próximo miércoles,04/05/05
22/02/51 el próximo lunes por favor,27/02/51
22/06/31 el siguiente viernes gracias,27/06/31
02/10/47 el siguiente martes,08/10/47
20/03/25 el viernes próximo,21/03/25
18/07/53 mañana,19/07/53
02/05/48 mañana por favor,03/05/48
08/02/15 en un par de días,10/02/15
13/01/29 este viernes que viene por favor,19/01/29
03/04/26 por favor este lunes que viene,06/04/26
15/12/25 el martes próximo,16/12/25
20/05/51 este miércoles siguiente,24/05/51
26/12/23 por favor mañana,27/12/23
24/02/46 el viernes por favor,02/03/46
10/12/60 mañana por favor,11/12/60
17/07/08 el próximo jueves,24/07/08
29/02/12 el próximo miércoles,07/03/12
04/12/36 pasado mañana,06/12/36
26/04/05 el lunes próximo,02/05/05
17/11/24 el miércoles,20/11/24
04/11/58 el próximo lunes,11/11/58
20/05/11 este martes gracias,24/05/11
27/11/11 este martes por favor,29/11/11
26/05/22 este martes,31/05/22
13/02/13 por favor el miércoles,20/02/13
23/11/28 el miércoles siguiente gracias,29/11/28
17/03/22 por favor el próximo miércoles,23/03/22
31/08/60 el jueves siguiente,02/09/60
26/03/35 el siguiente lunes,02/04/35
29/11/43 este lunes próximo,30/11/43
02/10/12 el lunes siguiente gracias,08/10/12
21/10/51 en tres días gracias,24/10/51
25/09/56 este martes próximo,26/09/56
09/02/24 en tres días,12/02/24
28/04/56 este lunes,01/05/56
28/02/37 el próximo viernes,06/03/37
28/08/33 este martes siguiente,30/08/33
19/07/40 mañana,20/07/40
10/10/06 mañana gracias,11/10/06
04/11/56 por favor este miércoles,08/11/56
08/05/08 este martes próximo,13/05/08
21/02/36 el miércoles que viene,27/02/36
04/04/46 en un par de días por favor,06/04/46
16/12/24 el martes por favor,17/12/24
09/02/33 el viernes por favor,11/02/33
16/10/40 el próximo viernes gracias,19/10/40
14/10/43 este viernes,16/10/43
12/05/29 el siguiente lunes,14/05/29
17/03/52 en tres días,20/03/52
22/03/00 por favor el viernes,24/03/00
10/05/08 pasado mañana,12/05/08
16/02/41 este jueves siguiente gracias,21/02/41
14/12/56 el miércoles,20/12/56
01/08/59 el siguiente viernes,08/08/59
20/02/32 este lunes próximo gracias,23/02/32
06/09/05 en tres días,09/09/05
12/12/47 el próximo lunes,16/12/47
06/09/35 este miércoles próximo,12/09/35
17/07/19 el viernes siguiente,19/07/19
18/07/38 en un par de días,20/07/38
02/01/19 el próximo martes,08/01/19
19/05/44 este miércoles siguiente por favor,25/05/44
03/02/24 el próximo lunes gracias,05/02/24
18/12/28 el lunes por favor,25/12/28
10/06/25 este viernes siguiente gracias,13/06/25
20/04/30 el siguiente martes,23/04/30
06/02/49 en un par de días,08/02/49
06/11/51 el jueves siguiente,09/11/51
19/09/11 el siguiente miércoles gracias,21/09/11
16/10/50 en un par de días gracias,18/10/50
17/07/43 este martes gracias,21/07/43
02/11/30 en un par de días,04/11/30
05/05/04 este viernes,07/05/04
14/02/04 en tres días,17/02/04
06/12/08 este viernes gracias,12/12/08
05/03/56 este martes,07/03/56
25/03/41 el lunes,01/04/41
17/06/01 el siguiente miércoles,20/06/01
23/02/11 por favor el próximo miércoles,02/03/11
04/03/14 mañana por favor,05/03/14
04/08/39 el viernes que viene,05/08/39
15/12/40 en un par de días,17/12/40
23/01/00 por favor en un par de días,25/01/00
19/05/38 por favor este jueves,20/05/38
24/02/18 el viernes siguiente,02/03/18
01/11/11 por favor el martes próximo,08/11/11
25/04/58 el siguiente miércoles,01/05/58
30/01/27 este lunes,01/02/27
06/04/14 el jueves que viene,10/04/14
01/08/24 el siguiente jueves,08/08/24
16/05/08 el próximo miércoles,21/05/08
22/09/58 en un par de días,24/09/58
02/05/32 en un par de días gracias,04/05/32
18/06/22 el lunes que viene,20/06/22
24/05/07 este martes por favor,29/05/07
11/05/33 el próximo lunes,16/05/33
13/08/59 el lunes siguiente gracias,18/08/59
20/03/58 por favor el jueves,21/03/58
06/11/14 el siguiente jueves,13/11/14
23/08/04 en tres días,26/08/04
23/07/35 el viernes próximo gracias,27/07/35
15/02/56 este miércoles que viene,16/02/56
29/05/27 el jueves siguiente,03/06/27
02/01/21 por favor el siguiente martes,05/01/21
05/07/38 este viernes,09/07/38
21/10/58 el lunes que viene,28/10/58
07/03/08 este lunes,10/03/08
15/07/08 este jueves que viene por favor,17/07/08
05/02/00 el viernes por favor,11/02/00
23/02/19 este jueves gracias,28/02/19
11/10/42 en tres días,14/10/42
28/12/06 en tres días,31/12/06
27/11/11 por favor este lunes,28/11/11
05/04/53 este viernes siguiente,11/04/53
16/04/20 pasado mañana,18/04/20
08/08/46 en un par de días por favor,10/08/46
05/12/39 el martes por favor,06/12/39
31/10/00 este jueves,02/11/00
21/09/00 por favor el próximo jueves,28/09/00
28/10/30 el lunes que viene,04/11/30
26/10/10 en un par de días,28/10/10
20/11/37 el martes que viene,24/11/37
10/11/11 en un par de días,12/11/11
09/11/42 el próximo jueves,13/11/42
09/05/06 el próximo lunes,15/05/06
16/07/20 el siguiente miércoles,22/07/20
14/05/34 en un par de días,16/05/34
06/01/08 este lunes que viene por favor,07/01/08
10/03/09 el miércoles por favor,11/03/09
04/04/09 el próximo martes,07/04/09
10/02/28 el próximo lunes gracias,14/02/28
22/12/32 en un par de días,24/12/32
05/11/26 el siguiente miércoles,11/11/26
20/04/12 este viernes por favor,27/04/12
03/05/34 el próximo miércoles gracias,10/05/34
11/12/11 pasado mañana gracias,13/12/11
23/07/57 el próximo viernes,27/07/57
30/09/60 el miércoles,06/10/60
25/10/12 este jueves,01/11/12
19/02/06 en un par de días por favor,21/02/06
05/08/47 en tres días gracias,08/08/47
14/07/50 en tres días,17/07/50
04/10/00 este jueves próximo,05/10/00
02/10/54 en tres días,05/10/54
25/04/58 por favor el lunes,29/04/58
21/09/14 este miércoles próximo,24/09/14
26/06/39 este lunes que viene,27/06/39
04/07/31 por favor el próximo miércoles,09/07/31
11/02/19 este viernes próximo,15/02/19
06/05/56 este miércoles próximo,10/05/56
31/07/13 el miércoles,07/08/13
07/12/36 por favor este viernes,12/12/36
09/04/55 el martes,13/04/55
09/09/39 este viernes gracias,16/09/39
28/06/19 pasado mañana,30/06/19
11/10/07 en un par de días por favor,13/10/07
05/01/09 mañana,06/01/09
23/07/12 este lunes que viene,30/07/12
18/01/11 en tres días,21/01/11
22/11/52 el viernes siguiente por favor,29/11/52
14/06/34 este viernes,16/06/34
16/07/31 pasado mañana,18/07/31
10/07/38 este miércoles siguiente por favor,14/07/38
19/03/28 el jueves próximo por favor,23/03/28
17/07/12 por favor este lunes siguiente,23/07/12
25/03/22 el martes por favor,29/03/22
05/11/24 el próximo viernes,08/11/24
30/10/57 en un par de días,01/11/57
23/07/07 por favor el siguiente viernes,27/07/07
06/04/22 el siguiente viernes,08/04/22
24/08/49 el martes siguiente,31/08/49
01/12/53 en un par de días,03/12/53
30/10/53 el lunes próximo por favor,03/11/53
05/07/54 en tres días,08/07/54
24/07/25 este jueves,31/07/25
28/05/02 este lunes,03/06/02
25/01/59 el lunes,27/01/59
23/01/27 en tres días,26/01/27
07/06/18 este viernes siguiente gracias,08/06/18
13/06/46 el jueves,14/06/46
13/06/54 el siguiente lunes por favor,15/06/54
17/09/45 este martes próximo,19/09/45
03/12/16 este miércoles,07/12/16
22/02/35 el lunes que viene,26/02/35
07/07/26 por favor el próximo viernes,10/07/26
20/12/57 por favor en un par de días,22/12/57
23/11/04 el viernes gracias,26/11/04
21/06/21 el siguiente viernes,25/06/21
25/05/44 el próximo miércoles,01/06/44
14/08/34 el próximo martes gracias,15/08/34
11/02/10 por favor este miércoles próximo,17/02/10
17/08/21 en tres días por favor,20/08/21
26/10/44 en un par de días,28/10/44
30/03/57 este miércoles por favor,04/04/57
13/04/53 el miércoles próximo,16/04/53
15/05/06 mañana,16/05/06
24/05/47 en tres días,27/05/47
30/01/01 el jueves que viene,01/02/01
24/05/32 el jueves siguiente gracias,27/05/32
23/05/28 el miércoles próximo,24/05/28
03/11/11 el siguiente viernes gracias,04/11/11
14/09/34 este lunes,18/09/34
28/12/50 en un par de días,30/12/50
03/10/37 pasado mañana gracias,05/10/37
12/10/32 pasado mañana,14/10/32
06/01/49 por favor el próximo lunes,11/01/49
02/07/15 el viernes que viene gracias,03/07/15
04/04/42 este jueves que viene,10/04/42
19/07/06 el jueves próximo gracias,20/07/06
30/06/01 en un par de días gracias,02/07/01
10/09/52 este jueves,12/09/52
21/01/06 el jueves,26/01/06
27/03/01 el próximo martes,03/04/01
10/07/23 pasado mañana por favor,12/07/23
10/05/19 el lunes siguiente,13/05/19
29/07/03 por favor el siguiente lunes,04/08/03
04/06/05 por favor el siguiente jueves,09/06/05
14/09/35 por favor este lunes siguiente,17/09/35
13/06/45 el próximo jueves,15/06/45
13/09/25 el siguiente jueves,18/09/25
23/05/56 en tres días por favor,26/05/56
13/12/44 pasado mañana gracias,15/12/44
08/04/37 el martes,14/04/37
31/12/37 en tres días,03/01/38
02/02/36 el próximo jueves gracias,07/02/36
24/05/07 por favor el miércoles que viene,30/05/07
19/06/57 este lunes,25/06/57
20/02/48 el lunes,24/02/48
26/03/48 por favor este martes que viene,31/03/48
08/04/55 el próximo miércoles gracias,14/04/55
12/09/13 en tres días gracias,15/09/13
22/11/24 este martes próximo,26/11/24
02/07/07 el jueves siguiente,05/07/07
21/10/27 este lunes siguiente gracias,25/10/27
02/02/07 este viernes próximo,09/02/07
14/11/45 por favor este viernes próximo,17/11/45
25/03/18 el miércoles,28/03/18
09/12/13 el lunes,16/12/13
14/02/48 este martes que viene,18/02/48
24/04/29 el próximo miércoles gracias,25/04/29
20/01/35 el viernes,26/01/35
11/08/52 el próximo viernes gracias,16/08/52
